기준년도,특수일구분명,특수일전후특송기간범위구분명,특수일전후특송기간범위구분코드,기준시,교통량(대)
2021,추석,D-2,2,01,37210
2021,추석,D,4,07,163768
2021,설날,D-2,2,20,209348
2021,추석,D-1,3,19,196442
2021,설날,D-2,2,18,309766
2021,추석,D+3,7,01,27485
2021,설날,D+2,6,01,28277
2021,설날,D+3,7,20,146848
2021,설날,D-1,3,05,47679
2021,추석,D-1,3,10,300033
2021,설날,D-2,2,21,188035
2021,추석,D-3,1,13,319598
2021,추석,D,4,14,382026
2021,설날,D-2,2,19,256804
2021,설날,D-3,1,07,272605
2021,추석,D+2,6,19,211500
2021,설날,D-1,3,09,207606
2021,추석,D+2,6,02,22311
2021,추석,D-3,1,23,81761
2021,추석,D-3,1,14,321598
2021,추석,D+3,7,16,316868
2021,추석,D+3,7,21,158047
2021,설날,D,4,04,12229
2021,설날,D+1,5,15,332839
2021,설날,D-2,2,02,22555
2021,추석,D,4,13,373229
2021,추석,D-1,3,07,123384
2021,추석,D-3,1,06,151536
2021,설날,D+2,6,12,253558
2021,설날,D-2,2,03,22642
2021,설날,D+2,6,19,179906
2021,추석,D+1,5,04,36204
2021,설날,D-1,3,01,45635
2021,설날,D-3,1,20,192019
2021,추석,D,4,16,365516
2021,추석,D+2,6,11,275320
2021,설날,D,4,11,336504
2021,설날,D-3,1,13,280091
2021,추석,D+2,6,04,40963
2021,설날,D-3,1,00,34122
2021,설날,D+1,5,18,259940
2021,설날,D+3,7,10,253490
2021,설날,D-1,3,23,49399
2021,추석,D+1,5,18,257990
2021,추석,D-1,3,01,35778
2021,추석,D+2,6,15,284084
2021,설날,D+1,5,04,13970
2021,추석,D-1,3,20,172423
2021,설날,D+1,5,20,182495
2021,추석,D+1,5,05,48278
2021,추석,D+1,5,02,46672
2021,추석,D-3,1,09,260127
2021,설날,D+1,5,10,244157
2021,설날,D+1,5,19,210818
2021,추석,D-2,2,00,54219
2021,설날,D,4,17,319881
2021,추석,D+3,7,22,118968
2021,추석,D-3,1,05,97146
2021,추석,D-3,1,00,69905
2021,추석,D+1,5,03,39411
2021,설날,D+3,7,02,18050
2021,설날,D,4,13,356862
2021,설날,D+2,6,21,139321
2021,추석,D+1,5,23,81729
2021,설날,D+2,6,15,280307
2021,설날,D+2,6,16,276479
2021,추석,D-2,2,17,309455
2021,설날,D-1,3,16,277482
2021,설날,D-3,1,12,263660
2021,설날,D+2,6,00,49258
2021,설날,D+3,7,03,18253
2021,추석,D-2,2,15,328262
2021,설날,D+3,7,16,272891
2021,설날,D+2,6,14,280896
2021,추석,D+2,6,03,22911
2021,추석,D-2,2,08,169372
2021,설날,D+1,5,03,12498
2021,추석,D+1,5,09,175300
2021,설날,D+1,5,07,68680
2021,추석,D+3,7,08,301868
2021,설날,D-1,3,21,116433
2021,설날,D-3,1,15,293930
2021,추석,D-2,2,19,217989
2021,추석,D-2,2,12,319004
2021,추석,D-2,2,13,319816
2021,추석,D+1,5,10,248161
2021,설날,D-3,1,08,301206
